"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.01,83
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.025,85
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.05,88
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.1,91
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.15,91
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.2,92
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.25,94
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.3,97
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.35,99
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.4,101
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.45,102
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.5,106
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.55,110
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.6,111
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.65,113
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.7,116
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.75,118
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.8,120
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.85,122
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.9,122
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.95,125
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.975,129
"2026-06-13","SARI",-5,"2026-05-09","Adults","quantile",0.99,132
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.01,71
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.025,75
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.05,78
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.1,82
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.15,86
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.2,89
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.25,93
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.3,96
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.35,99
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.4,102
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.45,104
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.5,106
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.55,108
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.6,110
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.65,113
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.7,116
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.75,119
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.8,124
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.85,128
"2026-06-13","SARI",-4,"2026-05-16","Adults","quantile",0.9,132
